height,shoulder,chest,waist,hip,body_type,size
164.4976551083605,44.92979995170774,100.12017556625077,87.72262804724328,92.65815943139397,athletic,M
168.7585281972723,45.84384390546367,104.28666277278296,82.0557515625421,96.30443693288349,athletic,M
184.62378120346017,44.002184644410434,84.99457315656201,76.2632773815366,87.86628307340355,slim,XS
168.3613288350523,42.157860413451,88.3244863006384,73.5850670776728,92.93149862840838,average,S
164.7487714886999,46.39493957330818,92.76910404602967,86.8520801905973,97.89186536699094,athletic,S
158.98902243650167,37.62371658091791,92.19704942621058,81.75648985165306,99.7412406503994,curvy,S
165.53258529026854,41.25206210251966,96.97789886019065,80.50327658744882,96.09520013949536,curvy,M
159.56103591765165,39.033115200231805,93.05950567580786,82.5091455476259,98.02453118217615,curvy,S
172.6348604023021,43.07413761256658,101.51066793378112,90.11382129572036,102.50374160277748,curvy,M
177.21502462358646,41.341578458137924,91.2707576905733,74.46333916986963,87.3282052110557,slim,S
172.11587012326015,40.18369477452892,83.36892951224218,68.3983967672763,87.02244151546205,slim,XS
158.76101665459964,37.32755965295212,83.44922841301229,63.21636617551852,79.2158866878839,slim,XS
160.6623715908795,37.73655365355623,78.48655851718782,65.59651839830752,72.9757872908054,slim,XS
167.19193708473247,38.70731444174439,100.09879836116309,90.55393724656426,103.71600198572058,curvy,M
178.7270509799052,50.54352974753169,112.10499208596724,92.65845779785316,104.54086730528171,athletic,L
178.96630383710945,45.656978076979435,99.41772043938926,78.4157959116311,99.97126940975028,average,M
166.5591945868868,42.390584532311124,90.62468147295374,71.50524534710574,90.83300262717873,average,S
174.60955615420295,48.41831378177436,103.88987568004491,76.6840738868476,102.310096401104,athletic,M
159.03734204718646,37.4934729927789,77.52048916290194,61.5597868528416,77.2418925854984,slim,XS
155.4148307901324,37.55710978035454,89.9172641109783,73.1406271496727,96.27765346353445,curvy,S
169.35621949199034,39.29683281820251,84.43784773993771,66.77696727021929,85.59153181802512,slim,XS
180.65793708549305,41.891146493850044,90.30682809291281,75.33236218902283,83.26643206855358,slim,S
156.78123049366562,41.66268553415731,93.65686528516156,83.9959015056073,90.79690572046555,athletic,S
172.16936726162342,45.49519283550764,101.60272716816574,86.48328909116228,98.34780604939297,athletic,M
177.1812827982471,46.88747460487868,104.7002893784112,92.97675682510308,104.04918254595161,athletic,M
145.30301134932404,34.48445832486115,81.61920946112139,74.13058579857572,91.7562324321828,curvy,XS
152.89470421474968,36.81370750343591,91.68038526784113,80.11492964070688,92.99052487642962,curvy,S
161.53385643135204,44.13608280208195,97.81126787851078,81.76889961705952,94.7289813586751,athletic,M
176.5304831104976,43.47000341198214,96.83827139259591,96.4703761912609,106.49275413713146,curvy,M
159.06059590931525,40.81449636964968,91.458644734666,74.51527241871204,84.61983596423913,average,S
156.69925934485215,36.015542023744864,82.37913430931641,59.74151313815076,72.33596058918731,slim,XS
181.0492821845015,43.206439608277485,102.74737517393838,90.58756901743868,109.80312409949461,curvy,M
169.88556552530272,42.884745468949326,93.01436537551446,79.93715192380004,97.33809648290612,average,S
156.56476235932567,40.866080569836384,93.83526844731097,74.43031867539833,93.7391021708481,athletic,S
169.88416680218006,46.059323741703146,103.75142721001392,83.54647866999902,100.35120483456168,athletic,M
150.557704062504,39.80378637880768,85.7900807634448,73.49279222298392,89.89266473922274,athletic,S
156.58596502053837,35.95893698398572,87.37669979343724,86.9831131232663,94.51757675609436,curvy,S
159.72938241064404,40.80479276032146,91.04975595814744,68.0421896990827,91.99717413837006,average,S
163.33056625043488,35.874211981349724,83.63567511870939,59.58862322267783,74.84887493584549,slim,XS
174.94995654191695,42.94199133355327,103.42514854822922,89.71290042323544,110.74588071746831,curvy,M
154.39442927562732,39.05501111525666,85.94837376667334,85.09062500019697,96.17404729990774,curvy,S
171.40907368071322,38.530966672934824,84.70008509817241,74.8051500368168,82.66200836695558,slim,XS
169.52356288842955,41.20434955094087,97.14946103904363,89.90434309167007,110.09591835917108,curvy,M
162.60763568544894,37.000689977850136,94.87179164186865,81.9088246973599,103.374034129367,curvy,S
161.424511143389,39.58188805103579,98.97008969424472,81.23108312370324,95.4367108694289,curvy,M
